rank,prev_rank,name,league,off,def,spi
219,216,St Gallen,Swiss Raiffeisen Super League,1.41,1.33,47.67
220,219,Fortaleza,Brasileiro Série A,1.07,0.97,47.66
221,217,Derby County,English League Championship,1.19,1.1,47.56
222,218,Panathinaikos,Greek Super League,1.08,0.98,47.54
223,220,Hamburg SV,German 2. Bundesliga,1.48,1.42,47.28
224,237,Queens Park Rangers,English League Championship,1.35,1.28,47.27
225,225,FC Nordsjaelland,Danish SAS-Ligaen,1.47,1.47,46.06
226,229,Nottingham Forest,English League Championship,1.13,1.1,45.92
227,228,Santa Clara,Portuguese Liga,1.22,1.2,45.85
228,230,FC Lugano,Swiss Raiffeisen Super League,1.23,1.22,45.72
229,238,Standard Liege,Belgian Jupiler League,1.35,1.35,45.71
230,231,Lanus,Argentina Primera Division,1.28,1.27,45.68
231,222,Portimonense,Portuguese Liga,1.16,1.14,45.64
232,233,FC Khimki,Russian Premier Liga,1.34,1.35,45.53
233,234,Almeria,Spanish Segunda Division,1.18,1.17,45.53
234,235,Preston North End,English League Championship,1.24,1.24,45.48
235,236,Omonia Nicosia,UEFA Europa League,1.41,1.43,45.33
236,227,Atlético Goianiense,Brasileiro Série A,1.1,1.1,45.32
237,239,New England Revolution,Major League Soccer,1.4,1.43,45.11
238,240,Terek Grozny,Russian Premier Liga,1.09,1.1,44.96
239,241,FC Zorya Luhansk,UEFA Europa League,1.27,1.29,44.92
240,242,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
241,232,Gil Vicente,Portuguese Liga,1.09,1.11,44.66
242,243,Yokohama F. Marinos,Japanese J League,1.72,1.8,44.62
243,245,Huddersfield Town,English League Championship,1.24,1.28,44.52
244,246,Pumas Unam,Mexican Primera Division Torneo Clausura,1.32,1.38,44.34
245,247,Ural Sverdlovsk Oblast,Russian Premier Liga,1.16,1.2,44.32
246,248,Famalicao,Portuguese Liga,1.2,1.25,44.16
247,249,Djurgardens IF,Swedish Allsvenskan,1.3,1.37,44.07
248,250,Aris Salonika,Greek Super League,1.32,1.4,43.8
249,254,FC Groningen,Dutch Eredivisie,1.21,1.29,43.7
250,252,Boavista,Portuguese Liga,1.11,1.17,43.67
251,267,FC Twente,Dutch Eredivisie,1.43,1.53,43.65
252,263,SC Farense,Portuguese Liga,1.24,1.32,43.64
253,251,Rotherham United,English League Championship,1.25,1.33,43.61
254,268,Sivasspor,Turkish Turkcell Super Lig,1.23,1.33,43.3
255,255,Bristol City,English League Championship,1.2,1.29,43.27
256,253,Clermont Foot,French Ligue 2,1.04,1.11,43.23
257,282,Vasco da Gama,Brasileiro Série A,1.14,1.23,43.12
258,257,Kashima Antlers,Japanese J League,1.27,1.39,42.93
259,258,Argentinos Juniors,Argentina Primera Division,1,1.08,42.87
260,259,FC Arsenal Tula,Russian Premier Liga,1.15,1.26,42.79
261,261,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
262,264,Hannover 96,German 2. Bundesliga,1.21,1.33,42.66
263,244,Luton Town,English League Championship,1.08,1.18,42.65
264,262,Maritimo,Portuguese Liga,1.13,1.25,42.64
265,281,Amiens,French Ligue 2,1.06,1.17,42.64
266,266,Sparta,Dutch Eredivisie,1.41,1.56,42.63
267,265,Estudiantes,Argentina Primera Division,1,1.1,42.6
268,287,Heracles,Dutch Eredivisie,1.29,1.44,42.21
269,272,Fortuna Düsseldorf,German 2. Bundesliga,1.24,1.39,42.14
270,269,Portland Timbers,Major League Soccer,1.47,1.65,42.13
271,270,Randers FC,Danish SAS-Ligaen,1.23,1.39,42.03
272,274,Nimes,French Ligue 1,1.28,1.44,42.01
273,260,Konyaspor,Turkish Turkcell Super Lig,1.3,1.46,42.01
274,271,FC Luzern,Swiss Raiffeisen Super League,1.38,1.56,41.99
275,275,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
276,276,Rayo Vallecano,Spanish Segunda Division,1.08,1.22,41.74
277,278,Rosenborg,Norwegian Tippeligaen,1.34,1.53,41.66
278,298,Goiás,Brasileiro Série A,1.16,1.33,41.56
279,279,Monza,Italy Serie B,1.18,1.35,41.45
280,280,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
281,277,Troyes,French Ligue 2,1.06,1.22,41.35
282,283,Sporting Kansas City,Major League Soccer,1.36,1.57,41.31
283,284,Servette,Swiss Raiffeisen Super League,1.22,1.41,41.29
284,256,Botafogo,Brasileiro Série A,1.2,1.38,41.25
285,285,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
286,286,Chicago Fire,Major League Soccer,1.48,1.72,41.16
287,288,Minnesota United FC,Major League Soccer,1.42,1.65,41.11
288,290,Coventry City,English League Championship,1.11,1.29,41.09
289,300,SC Paderborn,German 2. Bundesliga,1.25,1.45,41.06
290,291,Dundalk,UEFA Europa League,1.48,1.72,41.02
291,293,Moreirense,Portuguese Liga,1.02,1.19,41.02
292,292,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
293,336,KV Mechelen,Belgian Jupiler League,1.44,1.68,40.94
294,294,FC Ufa,Russian Premier Liga,0.94,1.1,40.81
295,295,Columbus Crew,Major League Soccer,1.28,1.5,40.81
296,296,Orlando City SC,Major League Soccer,1.32,1.56,40.56
297,297,Inter Miami CF,Major League Soccer,1.28,1.51,40.49
298,304,Tijuana,Mexican Primera Division Torneo Clausura,1.17,1.39,40.47
299,301,Patronato,Argentina Primera Division,1.2,1.43,40.35
300,307,Auxerre,French Ligue 2,1.22,1.46,40.33
301,302,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
302,305,IFK Norrkoping,Swedish Allsvenskan,1.53,1.82,40.17
303,308,Sport Recife,Brasileiro Série A,1.05,1.26,40.17
304,306,Leganes,Spanish Segunda Division,0.95,1.14,40.14
305,389,Atlético San Luis,Mexican Primera Division Torneo Clausura,1.18,1.43,39.98
306,310,Colorado Rapids,Major League Soccer,1.37,1.65,39.89
307,311,Slovan Liberec,UEFA Europa League,1.19,1.44,39.87
308,299,Belenenses,Portuguese Liga,0.89,1.08,39.81
309,315,SpVgg Greuther Fürth,German 2. Bundesliga,1.23,1.49,39.79
310,326,Hatayspor,Turkish Turkcell Super Lig,1.2,1.46,39.75
311,312,FC Zurich,Swiss Raiffeisen Super League,1.26,1.53,39.74
312,313,Toronto FC,Major League Soccer,1.29,1.57,39.67
313,314,Banfield,Argentina Primera Division,0.98,1.2,39.66
314,317,Rijeka,UEFA Europa League,1.28,1.56,39.55
315,330,OH Leuven,Belgian Jupiler League,1.35,1.64,39.55
316,318,St. Pölten,Austrian T-Mobile Bundesliga,1.37,1.66,39.52
317,273,Necaxa,Mexican Primera Division Torneo Clausura,1.2,1.46,39.51
318,319,Arizona United,United Soccer League,1.48,1.8,39.5
319,320,FC Dallas,Major League Soccer,1.27,1.55,39.47
320,323,Kashiwa Reysol,Japanese J League,1.26,1.55,39.36
321,324,Union Santa Fe,Argentina Primera Division,1,1.25,39.16
322,343,KV Kortrijk,Belgian Jupiler League,1.18,1.46,39.13
323,309,PEC Zwolle,Dutch Eredivisie,1.2,1.48,39.12
324,335,VfL Bochum,German 2. Bundesliga,1.18,1.47,39.04
325,325,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
326,289,Heerenveen,Dutch Eredivisie,1.43,1.77,38.98
327,327,BK Hacken,Swedish Allsvenskan,1.07,1.34,38.97
328,328,Odense BK,Danish SAS-Ligaen,1.19,1.49,38.89
329,329,New York Red Bulls,Major League Soccer,1.3,1.63,38.83
330,331,AaB,Danish SAS-Ligaen,1.14,1.44,38.73
331,332,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
332,303,C.D. Nacional,Portuguese Liga,1.07,1.35,38.61
333,333,Henan Jianye,Chinese Super League,1.25,1.57,38.55
334,316,Atlas,Mexican Primera Division Torneo Clausura,1.14,1.44,38.5
335,372,Kasimpasa,Turkish Turkcell Super Lig,1.27,1.61,38.27
336,356,KV Oostende,Belgian Jupiler League,1.19,1.52,38.26
337,346,SV Zulte Waregem,Belgian Jupiler League,1.27,1.62,38.2
338,348,Coritiba,Brasileiro Série A,1.02,1.31,38.16
339,338,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
340,339,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.15,1.48,38.14
341,340,Wycombe Wanderers,English League Championship,1.13,1.45,38.11
342,321,Goztepe,Turkish Turkcell Super Lig,1.12,1.44,38.1
343,341,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
344,342,Lausanne Sports,Swiss Raiffeisen Super League,1.12,1.44,38.02
345,344,Huracán,Argentina Primera Division,0.95,1.24,37.93
346,345,Hammarby,Swedish Allsvenskan,1.48,1.89,37.89
347,349,Sheffield Wednesday,English League Championship,1,1.31,37.79
348,350,Valerenga,Norwegian Tippeligaen,1.18,1.53,37.74
349,352,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
350,353,Cerezo Osaka,Japanese J League,0.97,1.28,37.56
351,354,Nagoya Grampus Eight,Japanese J League,0.9,1.2,37.55
352,355,Karlsruher SC,German 2. Bundesliga,1.26,1.64,37.48
353,357,Atlanta United FC,Major League Soccer,1.11,1.46,37.41
354,351,Tondela,Portuguese Liga,1.07,1.41,37.29
355,359,Birmingham,English League Championship,1.02,1.36,37.29
356,362,Grenoble,French Ligue 2,0.98,1.3,37.28
357,337,Toluca,Mexican Primera Division Torneo Clausura,1.18,1.55,37.27
358,361,Atromitos,Greek Super League,1,1.33,37.25
359,322,Querétaro,Mexican Primera Division Torneo Clausura,1.11,1.47,37.23
360,370,Fatih Karagümrük,Turkish Turkcell Super Lig,1.2,1.58,37.23
361,363,Central Córdoba Santiago del Estero,Argentina Primera Division,1,1.34,37.16
362,334,FC Juárez,Mexican Primera Division Torneo Clausura,1.15,1.53,37.09
363,358,Holstein Kiel,German 2. Bundesliga,1.16,1.54,37
364,364,Nashville SC,Major League Soccer,0.99,1.33,36.92
365,378,Sporting Gijón,Spanish Segunda Division,0.81,1.11,36.89
366,365,Hull City,English League One,1.16,1.56,36.81
367,377,Aberdeen,Scottish Premiership,1.04,1.41,36.79
368,367,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
369,368,Girona FC,Spanish Segunda Division,0.82,1.13,36.57
370,369,Hartberg,Austrian T-Mobile Bundesliga,1.3,1.74,36.51
371,360,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.14,1.55,36.5
372,371,Lecce,Italy Serie B,1.18,1.6,36.49
373,375,Real Oviedo,Spanish Segunda Division,1.01,1.38,36.46
374,374,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
375,373,SV Darmstadt 98,German 2. Bundesliga,1.22,1.65,36.44
376,366,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.42,1.9,36.37
377,376,Houston Dynamo,Major League Soccer,1.28,1.73,36.3
378,390,Antalyaspor,Turkish Turkcell Super Lig,1.07,1.46,36.25
379,383,St. Truidense,Belgian Jupiler League,1.17,1.6,36.12
380,380,Sanfrecce Hiroshima,Japanese J League,0.91,1.28,36.03
381,381,Sonderjyske,Danish SAS-Ligaen,1.13,1.56,35.98
382,382,FC Tambov,Russian Premier Liga,0.99,1.38,35.94
383,384,Melbourne City,Australian A-League,1.17,1.61,35.83
384,385,San Jose Earthquakes,Major League Soccer,1.29,1.78,35.71
385,402,Eupen,Belgian Jupiler League,1.15,1.6,35.62
386,387,FK Volgograd,Russian Premier Liga,0.93,1.33,35.48
387,388,IF Elfsborg,Swedish Allsvenskan,1.2,1.68,35.41
388,347,1. FC Heidenheim 1846,German 2. Bundesliga,1.02,1.45,35.35
389,379,Willem II,Dutch Eredivisie,1.31,1.81,35.27
390,391,FC Sion,Swiss Raiffeisen Super League,1.07,1.53,35.02
391,404,Cittadella,Italy Serie B,1.01,1.46,34.89
392,393,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.15,1.64,34.86
393,394,OFI Crete,Greek Super League,1.06,1.52,34.85
394,392,1. FC Nürnberg,German 2. Bundesliga,1.06,1.53,34.82
395,395,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
396,396,Sydney FC,Australian A-League,1.13,1.62,34.7
397,386,Puebla,Mexican Primera Division Torneo Clausura,0.96,1.41,34.68
398,415,Las Palmas,Spanish Segunda Division,0.93,1.37,34.61
399,399,Empoli,Italy Serie B,1.05,1.54,34.55
400,400,Viking FK,Norwegian Tippeligaen,1.35,1.92,34.4
401,429,Tenerife,Spanish Segunda Division,0.85,1.27,34.38
402,401,Los Angeles Galaxy,Major League Soccer,1.27,1.83,34.26
403,397,Caykur Rizespor,Turkish Turkcell Super Lig,1.17,1.69,34.25
404,398,Fuenlabrada,Spanish Segunda Division,0.9,1.35,34.19
405,403,Portsmouth,English League One,1.03,1.52,34.19
406,411,Fortuna Sittard,Dutch Eredivisie,1.26,1.83,33.84
407,405,Gamba Osaka,Japanese J League,1.02,1.53,33.76
408,406,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
409,407,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
410,408,FC Tokyo,Japanese J League,0.93,1.41,33.7
411,409,Real Salt Lake,Major League Soccer,1,1.51,33.64
412,410,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
413,412,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
414,414,AIK,Swedish Allsvenskan,0.87,1.36,33.28
415,417,Kristiansund BK,Norwegian Tippeligaen,1.27,1.88,33.18
416,432,Hibernian,Scottish Premiership,1.03,1.57,33.16
417,413,Sochaux,French Ligue 2,0.89,1.39,33.07
418,418,Chievo Verona,Italy Serie B,0.95,1.48,33.04
419,416,Sunderland,English League One,0.91,1.43,33.02
420,420,Mazatlán FC,Mexican Primera Division Torneo Clausura,1.06,1.63,32.85
421,423,Lugo,Spanish Segunda Division,0.78,1.27,32.69
422,422,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
423,421,Mouscron-Peruwelz,Belgian Jupiler League,0.96,1.53,32.43
424,437,Caen,French Ligue 2,0.96,1.53,32.42
425,436,Guingamp,French Ligue 2,1.05,1.64,32.42
426,427,Spal,Italy Serie B,0.98,1.55,32.4
427,430,SV Ried,Austrian T-Mobile Bundesliga,1.2,1.85,32.33
428,433,Mirandes,Spanish Segunda Division,0.84,1.36,32.29
429,434,Louisville City FC,United Soccer League,1.08,1.69,32.24
430,428,Málaga,Spanish Segunda Division,0.8,1.32,32.23
431,425,Paris FC,French Ligue 2,0.93,1.49,32.22
432,424,Ankaragucu,Turkish Turkcell Super Lig,1.03,1.63,32.17
433,435,Mjallby,Swedish Allsvenskan,1.17,1.82,32.08
434,443,Valenciennes,French Ligue 2,0.94,1.51,32.06
435,426,Cercle Brugge,Belgian Jupiler League,1.12,1.77,31.89
436,440,Livingston,Scottish Premiership,1.04,1.67,31.86
437,431,Jahn Regensburg,German 2. Bundesliga,1.05,1.69,31.63
438,438,Reno 1868 FC,United Soccer League,1.27,2,31.38
439,439,Consadole Sapporo,Japanese J League,1.09,1.76,31.31
440,419,Genclerbirligi,Turkish Turkcell Super Lig,1.04,1.72,30.85
441,442,IFK Goteborg,Swedish Allsvenskan,0.93,1.56,30.77
442,452,Denizlispor,Turkish Turkcell Super Lig,0.95,1.61,30.41
443,486,SV Sandhausen,German 2. Bundesliga,1.04,1.75,30.26
444,445,Peterborough United,English League One,1.03,1.73,30.23
445,446,Vissel Kobe,Japanese J League,1.17,1.92,30.22
446,447,Tampa Bay Rowdies,United Soccer League,0.96,1.64,30.21
447,448,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.02,1.72,30.21
448,449,Montreal Impact,Major League Soccer,1.13,1.88,30.18
449,450,SD Ponferradina,Spanish Segunda Division,0.84,1.48,30.17
450,451,Panetolikos,Greek Super League,0.86,1.51,30.07
451,453,Colon Santa Fe,Argentina Primera Division,0.83,1.48,29.95
452,455,Godoy Cruz,Argentina Primera Division,0.94,1.64,29.76
453,484,VVV Venlo,Dutch Eredivisie,1.23,2.04,29.73
454,456,SuperSport United,South African ABSA Premier League,0.81,1.46,29.64
455,457,Perth Glory,Australian A-League,1.02,1.76,29.5
456,464,AC Ajaccio,French Ligue 2,0.78,1.43,29.49
457,458,Odd BK,Norwegian Tippeligaen,1.18,1.99,29.43
458,459,Vejle,Danish SAS-Ligaen,1.02,1.78,29.39
459,482,Real Zaragoza,Spanish Segunda Division,0.74,1.38,29.38
460,460,Western United,Australian A-League,1.04,1.81,29.36
461,461,AD Alcorcon,Spanish Segunda Division,0.69,1.31,29.33
462,463,Brescia,Italy Serie B,1.05,1.82,29.29
463,467,Doncaster Rovers,English League One,0.99,1.74,29.16
464,473,Kayserispor,Turkish Turkcell Super Lig,0.87,1.57,29.15
465,470,RKC,Dutch Eredivisie,1.05,1.83,28.98
466,469,Pittsburgh Riverhounds,United Soccer League,0.91,1.64,28.95
467,468,CD Sabadell,Spanish Segunda Division,0.85,1.56,28.94
468,474,FC St. Pauli,German 2. Bundesliga,1,1.78,28.76
469,466,Waasland-Beveren,Belgian Jupiler League,1.08,1.89,28.72
470,462,Erzgebirge Aue,German 2. Bundesliga,0.98,1.75,28.68
471,472,Stabaek,Norwegian Tippeligaen,0.95,1.72,28.65
472,475,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
473,444,FC Cartagena,Spanish Segunda Division,0.95,1.74,28.35
474,483,Wellington Phoenix,Australian A-League,1.02,1.85,28.22
475,441,Emmen,Dutch Eredivisie,1.06,1.9,28.19
476,454,Le Havre,French Ligue 2,0.79,1.52,28.18
477,477,Larissa,Greek Super League,0.7,1.38,28.18
478,478,Urawa Red Diamonds,Japanese J League,0.92,1.71,28.07
479,479,Orebro SK,Swedish Allsvenskan,0.97,1.79,28.06
480,476,AS Nancy Lorraine,French Ligue 2,0.93,1.72,28
481,481,Varbergs BoIS FC,Swedish Allsvenskan,0.99,1.82,28
482,471,VfL Osnabruck,German 2. Bundesliga,0.93,1.73,27.98
483,485,San Antonio FC,United Soccer League,1.03,1.88,27.84
484,465,Logrones,Spanish Segunda Division,0.8,1.56,27.75
485,487,Pordenone Calcio,Italy Serie B,0.79,1.54,27.69
486,480,Castellon,Spanish Segunda Division,0.82,1.59,27.55
487,489,Lamia,Greek Super League,0.55,1.18,27.53
488,492,Oxford United,English League One,0.92,1.77,27.23
489,488,Macarthur FC,Australian A-League,0.89,1.71,27.23
490,493,DC United,Major League Soccer,1.02,1.91,27.15
491,494,Adelaide United,Australian A-League,1.01,1.9,27.13
492,496,FC Vaduz,Swiss Raiffeisen Super League,0.92,1.78,26.92
493,497,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
494,498,Fleetwood Town,English League One,0.81,1.63,26.79
495,509,Kilmarnock,Scottish Premiership,0.79,1.6,26.69
496,499,F.B.C Unione Venezia,Italy Serie B,0.74,1.53,26.63
497,500,Sagan Tosu,Japanese J League,0.76,1.57,26.58
498,495,Newcastle Jets,Australian A-League,0.95,1.85,26.51
499,502,Shimizu S-Pulse,Japanese J League,1.1,2.07,26.28
500,514,Chambly Thelle FC,French Ligue 2,0.85,1.72,26.28
501,490,Erzurumspor,Turkish Turkcell Super Lig,0.87,1.76,26
502,504,AC Horsens,Danish SAS-Ligaen,0.85,1.73,25.97
503,512,Western Sydney FC,Australian A-League,0.99,1.94,25.97
504,506,FC Xanthi,Greek Super League,0.58,1.33,25.81
505,507,Haugesund,Norwegian Tippeligaen,0.98,1.94,25.79
506,508,Frosinone,Italy Serie B,0.76,1.62,25.77
507,501,ADO Den Haag,Dutch Eredivisie,1.03,2.02,25.65
508,510,Lincoln City,English League One,0.79,1.67,25.51
509,511,Oita Trinita,Japanese J League,0.69,1.52,25.51
510,516,Würzburger Kickers,German 2. Bundesliga,0.9,1.85,25.39
511,491,Charlton Athletic,English League One,0.95,1.93,25.22
512,513,Melbourne Victory,Australian A-League,0.99,2,25.02
513,503,Ipswich Town,English League One,0.77,1.69,24.88
514,505,Niort,French Ligue 2,0.82,1.77,24.69
515,515,Albacete,Spanish Segunda Division,0.62,1.45,24.6
